TWEETID,TWEET,TIMESTAMP,AUTHOR,LAT,LONG,URL,inlon,inlat,inokc
339174914806407000,":-( @ Moore, Oklahoma http://t.co/1wtpdb0n5Z",5/28/13 0:22,JCSTX,35.363,-97.5118,http://instagram.com/p/Z1ctN3qiIK/,TRUE,TRUE,TRUE
339175091306889000,Shit just got real. @ Mission Chinese OKC Pop-Up http://t.co/2tHh924XWU,5/28/13 0:23,MyJRNY,35.4653,-97.5166,http://instagram.com/p/Z1cz-UPHKL/,TRUE,TRUE,TRUE
339120402842406000,#oklahoma #oklahome @ Oklahoma Democratic Party http://t.co/C339W0rh9b,5/27/13 20:46,aaronthedem,35.5134,-97.5028,http://instagram.com/p/Z1D76dtmrh/,TRUE,TRUE,TRUE
339177676906569000,RT @AugustaGolfGirl: Drinkin' Texas beer in #OKC with great friends! So #HAPPY! #liveitroadtrip http://t.co/usSoIvJvQ1,5/28/13 0:33,CoreyBMiles,35.4931,-97.4591,http://instagram.com/p/Z1deG5APQ1/,TRUE,TRUE,TRUE
339119533577089000,Oklahoma is filled with wonderful people. Lucky to know them. #memorialdayvolunteering http://t.co/IxLyLgPNEc,5/27/13 20:42,courtneyhyder,35.4931,-97.4591,http://instagram.com/p/Z1DfoonXPx/,TRUE,TRUE,TRUE
339119001139564000,"It's been a long day. Haha. Less than an hour to Oklahoma City! @ Newcastle, OK http://t.co/P9NREAZgwF",5/27/13 20:40,rachczar,35.276,-97.6077,http://instagram.com/p/Z1DQf3DptB/,TRUE,TRUE,TRUE
339120702705786000,At the zoo @ The Oklahoma City Zoo http://t.co/ZwpBdrKTBj,5/27/13 20:47,DeeJayKutz,35.5232,-97.4724,http://instagram.com/p/Z1EC8pEt3V/,TRUE,TRUE,TRUE
339121544397729000,"Tour de Oklahoma continues\Counties visited: Washita, Beckham, Greer, Harmon, Jackson, Tillman,‰Û_ http://t.co/P188ItB3LQ",5/27/13 20:50,MrFarnham,35.5224,-97.7602,http://instagram.com/p/Z1EcgwSHzW/,TRUE,TRUE,TRUE
339121053907423000,Having fun :) @ The Oklahoma City Zoo http://t.co/uWUEWqaaE2,5/27/13 20:48,DeeJayKutz,35.5232,-97.4724,http://instagram.com/p/Z1EL1gkt3m/,TRUE,TRUE,TRUE
339178887860846000,Merica\\#USA #memorialday #veteran #peace #oklahoma  #nofilter @ Norman Ok http://t.co/Ji9yfWw4mh,5/28/13 0:38,schultzusmc,35.179,-97.4327,http://instagram.com/p/Z1eMFOFkbf/,TRUE,TRUE,TRUE
339123007182217000,Carousel Ride (: @ The Oklahoma City Zoo http://t.co/l5Nf7JCUQv,5/27/13 20:56,Hakuna_Matata47,35.5232,-97.4724,http://instagram.com/p/Z1FH4Km8pj/,TRUE,TRUE,TRUE
339124439650287000,A moment with dae6alus to remember the little ones that were lost. #Moore #Oklahoma #PlazaTowers‰Û_ http://t.co/sWF93dbDlN,5/27/13 21:02,mattglenn0810,35.3265,-97.5062,http://instagram.com/p/Z1FkUOlXZ7/,TRUE,TRUE,TRUE
339123730133434000,BEAR HUG ???? @ The Oklahoma City Zoo http://t.co/GkUZi8rnAV,5/27/13 20:59,Hakuna_Matata47,35.5232,-97.4724,http://instagram.com/p/Z1FWXuG8qL/,TRUE,TRUE,TRUE
339186770044399000,#beautifulsunset #strangeclouds #okcskies #eastside #okc #eastsideskies http://t.co/g7AxF6rz2D,5/28/13 1:10,MsJ18,35.4931,-97.4591,http://instagram.com/p/Z1h_sXvQKg/,TRUE,TRUE,TRUE
339192999282098000,Went and got our Oklahoma Strong tattoos today. I'm so proud to have this tattoo as a tribute to the‰Û_ http://t.co/UmHkeRvDmF,5/28/13 1:34,Shyla_The_Human,35.3343,-97.4769,http://instagram.com/p/Z1k-mQHFX5/,TRUE,TRUE,TRUE
339137509495816000,RT @KeepItLocalOK: Hangin' at the myriadgardens for @okchefsrelief - so excited! #okchefsrelief #OKC http://t.co/cyUrhwo3pA,5/27/13 21:54,OKChefsRelief,35.4931,-97.4591,http://instagram.com/p/Z1K01oBnx3/,TRUE,TRUE,TRUE
339137665817513000,RT @KeepItLocalOK: Hangin' at the myriadgardens for @okchefsrelief - so excited! #okchefsrelief #OKC http://t.co/GI4qBCzxPy,5/27/13 21:54,FowlerToyota,35.1912,-97.4413,http://instagram.com/p/Z1K01oBnx3/,TRUE,TRUE,TRUE
339191000075468000,Oklahoma Staff! #NCA #TheWorkIsWorthIt http://t.co/B0ksNL8o0b,5/28/13 1:26,ShortieNicole52,35.2474,-97.6105,http://instagram.com/p/Z1kCfUos2C/,TRUE,TRUE,TRUE
