tweetid,tweet,timestamp,author,lat,lon,url,imgurl
339510301013729,"Driving through #Moore, Oklahoma. #tornado #destruction @ City of Moore http://t.co/noeKbVEHIK",5/28/2013 22:35:00,IrishLaw11,35.3305,-97.4901,http://instagram.com/p/Z31JqtqeQl/,http://distilleryimage9.ak.instagram.com/c4b87700c7e611e29da122000a9e28e0_7.jpg
339530084824256,Transformer @ Mercedes-Benz Of Oklahoma City http://t.co/NwnYFyi5tY,5/28/2013 23:54:00,rhamm,35.4807,-97.5145,http://instagram.com/p/Z39O1JPr06/,http://distilleryimage10.ak.instagram.com/a1edb85cc7f011e2ac8422000a1fbf16_7.jpg
339457124037955,Feeling confused! Am I still in OKC? #weirdstore #cultureshock @ Plaza District http://t.co/BHkJdkA84Y,5/28/2013 19:04:00,clariurbi,35.486,-97.5392,http://instagram.com/p/Z3dA6mKLi6/,http://distilleryimage6.ak.instagram.com/4dfbaa1ec7c911e2bbc022000a9f1945_7.jpg
339401209733595,"Spent yesterday in Moore, OK. @convoyofhope is doing amazing work. @ Moore, Oklahoma http://t.co/3OrCTwq6kZ",5/28/2013 15:22:00,jeffwneal,35.363,-97.5118,http://instagram.com/p/Z3DJSwJ9lA/,http://distilleryimage4.ak.instagram.com/b9e04d36c7a911e287f422000a1f9afa_7.jpg
33945951877163,Kansas City Memorial Day Super NIT CHAMPIONS!!! #oktigers #USSSA #baseball #oklahoma #tigers #picstitch http://t.co/Jnr0ItihGJ,5/28/2013 19:13:00,MaddHuff,35.3956,-97.5969,http://instagram.com/p/Z3eH5DtNfA/,http://distilleryimage8.ak.instagram.com/a88ce67cc7ca11e2b65722000a9e00be_7.jpg
339467387030093,Finding beauty in the small back roads of Oklahoma... Running errands for work. :) http://t.co/Magm0iSM8q,5/28/2013 19:45:00,nicolecwomack,35.4931,-97.4591,http://instagram.com/p/Z3hrgmtvDd/,http://distilleryimage5.ak.instagram.com/fff4b404c7ce11e2bb3e22000a1fb8a8_7.jpg
33940957788178,Best part of Oklahoma right now - GREEN GRASS. Lots and lots of it. http://t.co/AUfGaJjSbd,5/28/2013 15:55:00,ReaganH,35.3956,-97.5969,http://instagram.com/p/Z3HWufSD4y/,http://distilleryimage10.ak.instagram.com/dd7c2f6cc7ae11e2902022000a1ddbd3_7.jpg
339411367427731,??????great #verseoftheday for #oklahoma #prayformoore #tornado #uversion http://t.co/tlcL5Zi4AD,5/28/2013 16:02:00,janaelarson,35.3956,-97.5969,http://instagram.com/p/Z3ILhDwT7H/,http://distilleryimage7.ak.instagram.com/df3f24e8c7af11e2b04622000a1f9be0_7.jpg
339414858023976,The Caribbean was amazing and much needed. Happy to be back in loving and strong Oklahoma! http://t.co/TjFifXl6t1,5/28/2013 16:16:00,SydneyMann11,35.1912,-97.4413,http://instagram.com/p/Z3JBZIpRYx/,http://distilleryimage5.ak.instagram.com/e6507cccc7b011e28c8322000a9e08d3_7.jpg
339472397096873,Corvette found at Penn Square mall in Oklahoma #corvette #car http://t.co/G8yXczDSDl,5/28/2013 20:05:00,harrison_welch,35.1912,-97.4413,http://instagram.com/p/Z3jhJJAG-L/,http://distilleryimage11.ak.instagram.com/3e53f7a8c7d111e2819022000a1f99d8_7.jpg
339473906681397,"My twin, on her graduation weekend @_ruthieee #proudCousin #AccomplishedCoons @ Downtown OKC http://t.co/foNQoAlAbT",5/28/2013 20:11:00,D_Inyang7,35.5523,-97.6572,http://instagram.com/p/Z3kt_4sot1/,http://distilleryimage9.ak.instagram.com/b59dd3a0c7d211e2be5722000a1fac35_7.jpg
339479515225026,Official #LOVEOKC2013 sunglasses. Modeled by the official LOVE OKC model crew. #nowyouknow #merch #5days http://t.co/IiHebXGDXM,5/28/2013 20:33:00,lauren_sheppard,35.4931,-97.4591,http://instagram.com/p/Z3m9ScGYwU/,http://distilleryimage8.ak.instagram.com/7144b09ac7d511e293dd22000a1fb194_7.jpg
339423939078021,Beautiful welcome :) #Home #boomersooner @ Will Rogers World Airport (OKC) http://t.co/QLXTbnAvJ9,5/28/2013 16:52:00,granthaines,35.3952,-97.5974,http://instagram.com/p/Z3N_wJNOM-/,http://distilleryimage2.ak.instagram.com/f8ced69ac7b611e2ae4022000ae911aa_7.jpg
339425971620941,This better come to Oklahoma City http://t.co/AK6YahFeiZ,5/28/2013 17:00:00,Cheese_661,35.4931,-97.4591,http://instagram.com/p/Z3O4vtSztM/,http://distilleryimage8.ak.instagram.com/0f1814ecc7b811e2a7d622000a9e298f_7.jpg
339487828729815,Plane to Atlanta! ??? @ Will Rogers World Airport (OKC) http://t.co/DqeFTKEOWs,5/28/2013 21:06:00,megh_rae,35.3952,-97.5974,http://instagram.com/p/Z3q0rHjJkc/,http://distilleryimage8.ak.instagram.com/29331486c7da11e2af1622000a1fb845_7.jpg
339485963183087,Officially a student of the University of Oklahoma! Boomer Sooner! ?? http://t.co/Gex3t1maxy,5/28/2013 20:58:00,Amanda_Nicole5,35.6942,-97.0634,http://instagram.com/p/Z3qBJNu0SE/,http://distilleryimage4.ak.instagram.com/2d9960d0c7d911e2a77f22000a9e29a0_7.jpg
